Energy_Type,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
fossil_fuels,Norway,4.72914,4.30508,2.948999,2.842004,2.997,2.991,2.968001,2.931001,2.9583007,2.6930583,2.138668
fossil_fuels,Oman,18.62986,20.56156,23.51598,24.6656,27.38032,30.79252,32.17432,33.95844,35.45116,36.03302,34.21203977
fossil_fuels,Pakistan,55.60382,57.62952,58.0121,62.71304,63.83352,66.28034,76.71622,73.98176,66.57832,70.69552,64.662
fossil_fuels,Paraguay,9.40E-04,9.40E-04,0.00282,0.00282,0.00564,9.40E-04,9.40E-04,0.00188,0.00188,0.00188,0.00192
fossil_fuels,Peru,14.26356,15.9424,16.81284,18.83666,20.4732,21.43952,24.07434,20.5155,20.26828,21.27408,20.19896392
fossil_fuels,Philippines,46.9248,46.37114,49.03134,52.04122,54.00488,57.763,64.68892,66.91014,71.8536,78.95624,75.629
fossil_fuels,Poland,132.53502,135.993075,131.268204,133.237975,125.728515,128.378084,129.741614,131.228752,134.0699964,124.3702605,116.5150676
fossil_fuels,Portugal,24.427652,26.752082,25.129626,20.168074,19.515074,25.76776,25.754342,33.784519,27.9046274,23.6342803,20.9524256
fossil_fuels,Puerto Rico,20.735,19.866,21.08,20.204,20.07,20.027,20.574,16.322,16.751,16.8,16.688
fossil_fuels,Qatar,26.45536,28.8862,32.69978,32.58792,36.37048,39.00906,39.76858,42.8217,45.03822,46.88062,44.51144078
fossil_fuels,Romania,26.97424,31.90078,30.43908,25.16286,24.81412,24.245553,22.843489,24.466551,23.3941894,20.0745332,16.7553033
fossil_fuels,Russia,654.1789,668.25728,679.02404,658.52264,660.3453,656.49694,661.94706,658.19082,670.69564,668.43118,609.96506
fossil_fuels,Saudi Arabia,225.66298,235.07238,271.36672,283.99186,316.23104,337.36506,345.46316,355.45442,363.51586,361.9987,343.7045776
fossil_fuels,Serbia,24.00008,27.59558,25.26626,27.26282,21.06728,24.910153,25.130206,24.499094,23.2210341,23.4240657,24.4386313
fossil_fuels,Singapore,41.53108,42.11576,42.9345,43.80118,45.05326,45.93216,47.08366,47.71816,48.38744,49.46938,48.54912
fossil_fuels,Slovakia,6.393486,6.960177,6.383068,6.337002,4.626527,4.657917,4.568423,4.939711,5.1724716,5.5885832,5.5548627
fossil_fuels,Slovenia,5.186686,5.160659,5.034788,4.775269,3.654541,4.266373,4.869863,4.793445,4.6199483,4.5345996,4.4686304
fossil_fuels,South Africa,227.61348,229.09774,226.88404,223.32426,218.39208,214.96014,213.0651,212.79438,214.29556,208.41774,197.57296
fossil_fuels,South Korea,329.272985,344.347222,359.718346,375.53136,366.350301,356.542436,365.458397,380.343145,411.2899266,387.5087252,364.2636725
fossil_fuels,Spain,132.538893,140.033999,139.188487,107.530861,101.592559,117.016543,102.791787,121.086539,106.8393206,107.2766033,84.2270325
fossil_fuels,Sri Lanka,4.76016,6.48224,7.91574,4.53456,7.12144,6.38448,9.04562,10.16234,7.97872,10.23942,9.721956257
fossil_fuels,Sweden,6.985558,4.244059,2.843948,2.65507,1.747633,1.869992,1.999651,1.727365,2.0145413,1.6250239,0.7047315
fossil_fuels,Switzerland,1.040373,0.961675,0.91531,0.759038,0.510361,0.631902,0.847648,0.721235,0.612653,0.604944,0.6072445
fossil_fuels,Syria,41.19174,36.26238,29.93054,20.81066,17.75002,16.51486,16.23662,16.59852,16.3654,15.82208,15.02248854
fossil_fuels,Taiwan,193.7294243,198.1613638,196.3526966,196.6591461,204.5314117,208.1597785,216.4225213,232.1117802,231.8433892,223.4025645,230.2213012
fossil_fuels,Tajikistan,0.0329,0.03572,0.06956,0.04136,0.1504,0.15228,0.564,0.92214,1.26712,1.41658,1.62
fossil_fuels,Thailand,141.53862,134.83078,143.67712,146.9314,148.3884,152.82708,152.515,146.70204,142.87154,147.51796,147.15888
fossil_fuels,Tunisia,14.76458,15.17348,16.48478,16.6427,17.2725,17.76976,17.86188,18.57252,18.8799,19.72684,18.72991591
fossil_fuels,Turkey,160.672074,163.766354,160.954967,187.814852,167.698388,172.627455,197.926583,193.9899094,158.7125422,166.1924564,200.7281454
fossil_fuels,Turkmenistan,15.6604,16.1868,16.685,17.7378,19.176,21.18196,21.18196,21.18196,21.182,21.182,20.11153732
fossil_fuels,Ukraine,81.1079,87.89,91.17248,89.66284,78.41386,62.8954,68.29946,54.47206,57.11816,54.30944,51.26102
fossil_fuels,United Arab Emirates,88.312,93.18878,99.831,103.33,109.263,119.451,121.53,125.788,126.61048,125.852,119.4918891
fossil_fuels,United Kingdom,280.628739,251.292538,238.399882,221.048062,197.415697,177.604429,174.101684,158.575942,147.6684386,138.9076502,118.0243245
fossil_fuels,United States,2883.361313,2788.86738,2775.024247,2745.967657,2750.572956,2727.245754,2654.467826,2536.136679,2657.308388,2581.702822,2426.719259
fossil_fuels,Uruguay,1.27934,2.71848,3.81076,1.74276,0.64484,0.8836,0.41642,0.21338,0.34216,0.27166,0.2579312731
fossil_fuels,Uzbekistan,41.15602,44.27494,43.5643,45.97822,46.70672,47.55178,48.74558,49.7166,53.58,53.64486,50.93384023
fossil_fuels,Venezuela,34.7659,32.23354,37.2663,37.2381,36.61206,44.95268,42.24736,40.60142,39.0194,33.30702,31.62380208
fossil_fuels,Vietnam,63.21312,59.2247,60.77382,64.36932,73.6772,99.55446,108.00412,101.71834,124.30184,153.71444,145.9462608
fossil_fuels,Zambia,0.01222,0.0141,0.01692,0.01786,0.3854,0.37976,0.6298,1.86778,2.34624,2.13286,2.08398
renewable,World,4192.406395,4406.865487,4715.983468,5053.489905,5291.434117,5520.19319,5906.037357,6278.12849,6683.794483,7008.542438,7406.292825
renewable,Algeria,0.1721,0.4971,0.6161,0.3271,0.2521,0.221,0.33182,0.63544,0.78183,0.837,0.775
renewable,Argentina,34.20957,32.25653,30.91398,34.84859,33.95541,33.736902,31.175839,33.471703,34.8321988,34.7236309,36.9763636
renewable,Australia,21.609905,26.976745,26.73684,34.288501,36.270667,33.408205,38.653857,40.88069,42.9523599,53.6605932,64.1678894
renewable,Austria,43.582567,39.638764,49.903163,49.062723,48.510736,46.064819,49.469614,49.563409,48.5089712,54.7633948,56.3767453
renewable,Azerbaijan,3.413,2.649,1.803,1.61,1.466,1.813,2.171,1.958,2.034,1.89435,1.41
renewable,Bahrain,0.002,0.0025,0.0018,0.0018,0.00925,0.00925,0.00925,0.00925,0.00925,0.00925,0.00925
renewable,Bangladesh,0.836591,0.979676,0.817169,1.080454,0.795751,0.812682,1.251877,1.307877,1.375017,1.198877,1.038877
renewable,Belarus,0.139,0.148,0.202,0.297,0.287,0.326,0.42,0.782,0.80276,1.03952,1.193
renewable,Belgium,7.833,9.441001,11.696998,12.775998,13.468001,15.709801,15.583199,17.1131,18.3429,20.6203,24.4967003
renewable,Bosnia and Herzegovina,7.946,4.344,4.174,7.165,5.877,5.496,5.61065,3.7801,6.48562,6.31219,4.898
renewable,Brazil,432.929,459.191,451.891,434.428,428.62,426.047452,460.23092,461.038227,488.8695621,497.5955788,510.97885
renewable,Bulgaria,5.71268,3.86028,5.24322,6.83964,7.33698,8.705449,7.005198,6.10255,8.248428,6.465955,6.4753846
renewable,Canada,365.951002,391.922999,398.381999,417.135999,411.971999,417.200002,425.975998,436.893001,429.1920002,423.4190003,431.099947
renewable,Chile,24.220002,25.948002,25.258999,26.000001,30.062,32.368001,33.800996,34.373207,37.5068928,37.772804,39.4926373
renewable,China,783.577,792.498,997.593,1106.616,1287.315,1397.754805,1530.371961,1674.960906,1833.40025,2011.212323,2182.078382
renewable,Colombia,41.044,49.438,48.169,50.871,48.674521,49.385485,49.978764,62.076484,60.6730704,54.7424836,49.374911
renewable,Croatia,9.207,5.239,5.214,9.188,9.847,7.442001,8.291,7.058099,9.6978904,8.3686798,8.5347999
renewable,Cuba,0.5646,0.572,0.683,0.832,0.777,0.801,0.809,0.785,0.757,0.906,0.831
renewable,Czech Republic,5.910001,7.285001,8.083,9.319,9.214,9.454001,9.417409,9.660655,9.4434071,10.0870721,10.4083129
renewable,Denmark,13.175998,14.95894,15.566861,16.681541,18.708519,19.689384,19.090781,22.520357,21.4647901,23.8723191,24.0399808
renewable,Dominican Republic,1.5105,1.62,1.959,2.213,1.657,1.33,1.976,2.856,2.698,2.065,1.132
renewable,Ecuador,8.78904,11.30304,12.414,11.286,11.838,13.508,16.288,20.45612,21.01722,24.99735,25.376
renewable,Egypt,14.934,14.868,14.661,15.08,15.693,15.954,15.733,15.777384,17.617864,17.55,17.89
renewable,Estonia,1.044102,1.1792,1.4773,1.281,1.465001,1.636,1.652677,1.94249,2.0848025,2.2064999,2.5422687
renewable,Finland,24.229738,24.238302,28.603748,25.803452,26.491754,30.725523,30.672236,31.777182,32.489668,32.2154782,35.92715
renewable,France,79.592001,68.171484,87.419249,101.330542,96.048136,94.111753,101.187682,95.146693,115.9711464,116.1261814,127.3182018
renewable,Germany,112.577,131.214998,149.983001,159.304001,170.534002,195.771001,197.040001,223.158004,231.0270003,245.3919996,254.1450002
renewable,Greece,10.622005,8.243312,9.321999,14.424999,12.265,14.646002,15.100713,13.800464,15.7259113,16.3346568,18.0794332
renewable,Hong Kong,0.041,0.047,0.045,0.04,0.047,0.076,0.095,0.096,0.098,0.125,0.126
renewable,Hungary,3.156849,2.821444,2.731908,2.890621,3.291999,3.40203,3.520008,3.735998,4.0919997,4.9989997,5.8669999
renewable,Iceland,16.743999,16.848998,17.292999,17.995,17.8,18.554002,18.168608,18.84421,19.4306229,19.117132,18.7756272
renewable,India,148.118,173.238,165.905,194.258,197.978,205.8283135,224.3864376,253.2486968,277.5010732,313.1920344,327.2039483
renewable,Indonesia,26.738,21.888,22.364,26.358,26.016,24.795,30.972,32.074,49.23264,49.06639,48.368
renewable,Iran,9.604,12.176,12.553,14.833,14.128,14.185,16.535,15.331,16.48735,31.08325,28.712
renewable,Iraq,4.71834,3.363,4.348,4.755,2.959,2.578,3.394,2.21124,1.85682,2.51,1.857
renewable,Ireland,3.722134,5.414858,5.299123,5.686213,6.45452,7.930158,7.579203,9.033838,10.4934231,12.083735,13.7399198
renewable,Israel,0.17,0.301,0.484,0.562,0.957,1.315,1.7964,1.8234,2.0112,3.2992,4.41
renewable,Italy,78.837002,85.069767,94.182252,113.747261,122.299551,110.620633,109.901677,105.753621,116.0856248,96.9688238,119.1298619
renewable,Japan,105.915759,109.159026,103.103023,113.837471,129.049232,145.517359,150.962338,167.430587,173.1094806,184.2285281,178.7932584
renewable,Jordan,0.072,0.065,0.069,0.061,0.063,0.179,0.858,1.398,2.18677,3.015,3.109
renewable,Kazakhstan,7.943,7.805,7.564,7.661,8.291,9.429,11.9195,11.6,11.13705,11.38358,11.509
renewable,Kuwait,0,0,0,0.0062,0.009,0.011,0.015,0.038,0.058,0.056,0.055
renewable,Kyrgyzstan,10.997,13.998,14.037,12.996,13.165,10.989,11.379,14.061,14.17482,13.70556,14.8
renewable,Lebanon,0.832,0.798,0.999,1.263,0.204,0.497,0.421,0.47285,0.44652,0.79,1.105
renewable,Libya,0.006,0.006,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008
renewable,Malaysia,7.427,8.631,9.839,12.97,14.333,16.393,21.223,27.618,27.957,29.084,18.2
renewable,Mexico,45.12772,44.52588,42.004093,39.08038,52.252738,46.669945,47.498993,50.542131,53.6799145,54.5979996,64.7805854
renewable,Morocco,4.0921,2.6781,2.348,4.118,3.550414,4.391414,4.25491,4.222263,5.687323,6.744723,6.535263
renewable,Mozambique,16.535,16.71,15.0541,14.4544,16.077,17.14,15.576,14.04,13.90179,14.307,14.31
renewable,Netherlands,12.760008,14.054642,14.235863,13.804456,13.274698,15.319093,16.485344,19.12415,20.906223,24.5785641,33.7773853
renewable,New Zealand,32.50029653,33.48807954,31.63155219,32.09765698,34.32596621,35.27379628,36.65365685,35.69531636,36.69467574,36.32928291,35.13380406
renewable,Nigeria,6.327,5.841,5.64,5.316,5.34,5.71279,8.12449,7.72553,6.44988,6.16946,6.16946
renewable,North Korea,13.2674,13.0714,13.3694,13.7664,12.8774,9.9114,12.6854,11.7961,12.6881,13.6671,12.2171
renewable,Norway,117.597998,121.502002,143.177,130.031999,137.527,139.649,144.784999,144.958002,142.4551981,129.640709,152.0547862
renewable,Oman,0,0,0,0.001,0.001,0.004,0.004,0.004,0.004,0.004,0.004
renewable,Pakistan,31.516,28.277,29.624,32.095735,33.188952,35.996668,34.752702,31.624,42.0782,40.634,42.78
renewable,Paraguay,53.524,57.049,59.63,59.774,54.723,55.186,63.132,59.087,58.61889,48.93471,49.34
renewable,Peru,20.51605,22.04705,21.869,23.247,23.724,25.206,25.776,30.6,33.08578,34.19529,32.216
renewable,Philippines,17.744,19.748,20.657,19.803,19.721,20.872,21.898,23.092,23.232,21.96475,21.831
renewable,Poland,11.08377,13.257385,11.966219,15.070717,16.816199,20.661184,22.500473,23.812911,21.3026347,25.126435,28.276422
renewable,Portugal,28.380907,24.236539,19.476421,29.548742,31.559709,24.47879,32.364702,22.591018,29.4619984,27.3978569,30.2438732
renewable,Puerto Rico,0.1608,0.1518,0.123,0.16,0.177,0.243061,0.313866,0.362,0.712629,0.90314,0.90971
renewable,Qatar,0,0.001,0.001,0.003751,0.006506,0.006506,0.008364,0.008364,0.008364,0.008364,0.008364
renewable,Romania,20.103,16.169,14.805,19.999,26.94,25.964001,26.726,24.060928,25.952892,24.5655859,24.4331679
renewable,Russia,168.101,167.49,167.754,182.714,177.237,169.93,186.144,186.84,193.06658,197.15424,201.558
renewable,Saudi Arabia,0,0,0.024,0.039,0.042,0.129,0.129,0.1598,0.1598,0.4378,0.5048
renewable,Serbia,11.772,8.58,9.2,10.125,10.925,10.018001,10.759999,9.201596,10.8030682,10.5129331,10.2063869
renewable,Singapore,1.179,1.213,1.263,1.374,1.453,1.556,1.588,1.629,1.668,1.844,1.767
renewable,Slovakia,5.933,4.536004,5.152001,5.926999,5.925001,6.000999,6.723999,6.708999,5.8549999,6.62283,6.789
renewable,Slovenia,4.687859,3.831997,4.275809,5.050287,6.537031,4.305263,5.002249,4.397394,5.1744231,4.9978298,5.5894282
renewable,South Africa,2.48,2.437,1.611,1.52682,3.33587,5.6199,7.25519,9.399,11.224,11.052,10.675031
renewable,South Korea,6.523997,8.251995,7.931995,9.795003,10.002003,12.075999,17.522138,20.906136,25.6757117,30.4993402,38.101467
renewable,Spain,96.558999,86.566,85.774002,110.232999,109.099999,95.661,102.957,86.563998,102.5519999,99.56925,112.3059998
renewable,Sri Lanka,5.681,4.714,3.444,7.13,4.839,6.33,4.619,4.554,6.86599,5.089,5.478
renewable,Sweden,83.1716,85.022999,98.867003,83.330001,86.330001,103.121001,90.345001,96.246998,92.302,99.6978302,110.8983997
renewable,Switzerland,35.816996,32.673996,38.911997,39.083998,39.070005,39.425004,36.418996,36.401486,37.2447809,40.6125598,43.7997561
renewable,Syria,2.599,3.283,3.238,3.003,2.35,0.442,0.953,0.779,0.77946,1.283,0.783
renewable,Taiwan,8.639758617,8.987064028,10.66209662,10.85523132,9.922376051,10.47605468,12.73011976,12.36543328,12.65273343,15.25458846,15.15769921
renewable,Tajikistan,16.236,16.038,16.731,16.9,15.84,16.83,16.466,16.962,18.21006,18.97731,17
renewable,Thailand,8.895,12.473,13.706,13.781,14.344,13.86848,25.20373,25.68806,30.00435,33.67266,29.54
renewable,Tunisia,0.19,0.165,0.31,0.431,0.596,0.581,0.628,0.599,0.64383,0.81034,0.81
renewable,Turkey,55.355003,56.928999,63.994999,68.099001,51.725003,82.319999,89.462104,86.50834,96.7445892,130.743624,124.0852589
renewable,Turkmenistan,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,3.00E-04,0
renewable,Ukraine,13.26,11.091,11.126,14.973,10.082,7.049,9.175,10.788,12.91172,11.8683,11.5148
renewable,United Arab Emirates,0.02,0.034,0.035,0.1011,0.309,0.304,0.316,0.741,1.31,3.557,3.787
renewable,United Kingdom,27.589379,37.039749,43.35465,55.193468,67.012799,87.60999,87.84904022,103.08026,114.2731288,124.208547,140.2410272
renewable,United States,442.7696768,531.5232677,514.8566906,543.8421918,563.2732744,572.4080635,642.0117074,723.6690756,749.3282931,776.961321,837.3809303
renewable,Uruguay,9.749,7.656,6.799,9.728,12.213,12.704,13.362,14.05,14.191,15.531,12.637
renewable,Uzbekistan,8.11,5.646,6.586,5.648996,6.016046,7.000176,7.258643,8.34929,5.844857,6.506827,6.906827
renewable,Venezuela,76.014,82.835,81.245,82.802,63.738,74.245,62.424,59.99693,57.6625,72.097,72.098
renewable,Vietnam,27.386,40.663,52.416,51.585,59.395,56.803,67.15,90.62818,86.31475,60.362,60.402
renewable,Zambia,10.397084,11.433432,12.294,13.214104,13.973104,12.980104,10.991163,12.444253,13.634764,13.866305,13.898305
