Energy_Type,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
total,Mozambique,16.55286,16.7288,15.07384,14.78246,17.5716,19.67988,18.53324,16.7942,16.83459,17.9871,17.80412088
total,Netherlands,116.502576,111.041441,101.080639,99.284698,100.436711,107.602149,111.549436,113.716349,112.2703969,119.0127664,120.0576141
total,New Zealand,43.6305019,43.31948076,43.18773659,42.40589278,42.70260463,43.38537063,42.97402029,43.36100044,43.47387883,43.86866993,43.24423618
total,Nigeria,24.88918,25.72294,27.30418,27.45958,30.6119,30.80797,32.00801,32.79439,30.56746,29.32448,28.15430793
total,North Korea,21.03556,18.73584,18.76124,17.93248,17.49186,13.42418,16.56384,14.61704,15.14714,16.07632,14.50456662
total,Norway,122.150138,125.262082,145.660999,132.633003,140.242,142.176,147.491,147.570003,145.1080429,131.9557672,153.9079342
total,Oman,18.62986,20.56156,23.51598,24.6666,27.38132,30.79652,32.17832,33.96244,35.45516,36.03702,34.21603977
total,Pakistan,89.67982,89.74952,92.9071,99.205335,101.600472,106.610008,116.907922,113.71476,117.94652,120.39552,117.082
total,Paraguay,53.52494,57.04994,59.63282,59.77682,54.72864,55.18694,63.13294,59.08888,58.62077,48.93659,49.34192
total,Peru,34.77961,37.98945,38.68184,42.08366,44.1972,46.64552,49.85034,51.1155,53.35406,55.46937,52.41496392
total,Philippines,64.6688,66.11914,69.68834,71.84422,73.72588,78.635,86.58692,90.00214,95.0856,100.92099,97.46
total,Poland,143.35879,149.03546,143.015423,148.036692,142.273714,148.742268,151.980086,154.781107,155.1287839,149.1705333,144.4291258
total,Portugal,52.695559,50.826621,44.313047,49.395816,50.836783,49.92555,57.785044,55.886278,57.0183177,50.6305724,50.7589174
total,Puerto Rico,20.8958,20.0178,21.203,20.364,20.247,20.270061,20.887866,16.684,17.463629,17.70314,17.59771
total,Qatar,26.45536,28.8872,32.70078,32.591671,36.376986,39.015566,39.776944,42.830064,45.046584,46.888984,44.51980478
total,Romania,57.67424,58.81578,55.72708,55.75262,62.36612,60.795554,59.783488,58.978383,59.6587406,54.857559,51.6451741
total,Russia,980.89724,996.81741,1012.29248,1001.77926,1005.6033,1008.21294,1031.17206,1034.29882,1044.77322,1060.40342,1026.65506
total,Saudi Arabia,225.66298,235.07238,271.39072,284.03086,316.27304,337.49406,345.59216,355.61422,363.67566,362.4365,344.2093776
total,Serbia,35.40308,35.89158,34.22026,37.03082,31.70828,34.541154,35.589205,33.36169,33.7131023,33.5809988,34.3450182
total,Singapore,42.71008,43.32876,44.1975,45.17518,46.50626,47.48816,48.67166,49.34716,50.05544,51.31338,50.31612
total,Slovakia,24.968488,25.698182,25.925069,26.754,24.881528,24.601915,24.93742,25.545711,24.6964712,26.2784132,26.5198628
total,Slovenia,15.195545,14.845656,14.491595,14.763556,16.163572,13.846635,15.209111,15.06594,15.2205146,14.9967828,15.9986798
total,South Africa,241.98442,243.45328,239.86204,237.48478,235.48395,230.41804,234.01529,235.72838,234.69256,231.50374,218.232991
total,South Korea,476.817983,499.338217,510.092341,516.488363,523.941305,524.605435,536.246536,541.236567,562.8485364,555.5580353,553.8690845
total,Spain,287.233892,280.935997,282.383489,270.515861,264.252559,266.140544,260.499786,262.331536,261.8953206,261.8728532,251.1610323
total,Sri Lanka,10.44116,11.19624,11.35974,11.66456,11.96044,12.71448,13.66462,14.71634,14.84471,15.32842,15.19995626
total,Sweden,145.739156,147.241058,163.049952,149.524071,150.216634,159.282993,152.817652,160.971364,160.0995413,165.646854,158.8517017
