Country,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Kenya,73.4,61.08,60.57,64.02,74.24,71.99,69.39,67.86,68.94,73.86
New Zealand,72.59,71.19,71.83,70.2,65.47,65.61,65.09,65.46,62.91,57.23
Cambodia,71.77,70.41,69.86,67.5,100.83,98.65,98.19,98.06,99.81,35.74
Austria,69.8,68.32,71.53,69.6,69.27,68.08,71.8,71.26,74.46,77.34
Singapore,67.26,66.56,67.59,63.81,62.33,60.61,59.45,58.56,58.96,55.9
Belarus,65.33,66.75,63.93,62.55,68.34,72.93,73.72,73.25,71.69,65.99
Papua New Guinea,63.47,63.62,63.11,63.03,62.33,59.67,58.1,56.92,56.23,48.18
Hungary,62.48,62.9,62.81,60.78,59.82,56.89,56.59,58.95,62.83,64.51
Serbia,61.86,61.5,63.27,62.87,58.66,52.34,60.35,59.63,64.48,27.4
Portugal,61.7,66.75,71.85,66.88,66.72,62.61,63.02,64.7,66.4,68.68
South Sudan,60.33,67.14,64.25,66.77,63.08,62.57,60.64,59.76,74.6,78.26
Mongolia,59.15,55.74,53.86,50.97,48.65,47.1,44.63,42.18,38.82,36.07
Uganda,59.15,58.68,57.15,56.13,54.91,52.95,51.88,51.97,50.34,50.36
Ireland,58.68,60.9,62.7,63.2,61.18,59.29,59.12,60.07,58.7,62.44
Finland,58.42,62.43,60.86,63.65,-0.28,3.2,7.24,6.46,12.1,59.98
Burkina Faso,56.31,55.25,54.46,53.52,33.91,33.02,32.52,31.57,30.86,40.94
Chile,55.33,49.87,50.93,48.81,21.32,15.25,22.52,19.32,16.91,55.63
Bahrain,54.41,51.15,50.24,49.34,48.87,48.03,45.92,43.13,41.5,40.81
Azerbaijan,52.89,49.78,48.33,48.94,47.67,47.78,46.41,45.2,41.99,40.21
Botswana,52.34,54.01,56.22,52.43,53.52,54.09,55.38,54.43,67.14,62.29
Côte d'Ivoire,51.51,50.74,51,50.65,49.29,48.52,48.61,47.15,45.5,45.83
Syria,48.48,48.26,51.39,47.45,46.26,48.33,54.06,77.32,96.65,102.7
Nepal,48.37,48.96,45.95,44.97,39.41,40.23,38.8,38.13,36.71,28.65
Central African Republic,46.58,53.3,53.24,58.03,50.84,48.84,51.71,53.08,57.77,55.27
Solomon Islands,46.36,46.33,46.3,46.27,-17.04,-17.02,-16.99,-17.04,-17.06,2.43
Switzerland,44.26,44.37,45.64,46.62,46.14,46.91,50.72,49.7,48.39,52.36
Mali,44.16,42.31,40.98,39.99,35.55,34.15,33.6,32.3,31.7,30.85
Denmark,44.06,47.43,47.97,50.28,45.93,47.94,52.12,50.7,55.79,63.14
Niger,43.96,42.06,40.22,38.79,37.08,35.87,34.17,32.4,30.36,29.34
Somalia,42.51,42.8,42.84,43.01,43.12,43.06,42.92,42.8,42.5,42.34
Guinea,40.61,38.9,38.6,38.1,34.28,33.68,33.18,33.14,31.83,30.45
Madagascar,40.22,39.67,39.59,40.4,39.48,38.7,38.84,39.93,39.22,51.25
Dominican Republic,39.76,37.64,35.47,36.22,35.35,32.92,32.57,32.8,31.99,30.84
Laos,39.42,39.26,39.37,37.79,29.52,24.85,24.68,23.42,21.53,28.65
Guatemala,38.49,37.05,35.21,35.81,38.64,35.66,34.63,33.39,32.71,38.15
Nicaragua,38.41,37.87,37.8,38.05,29.28,28.36,27.42,27.16,26.8,38.31
Cuba,38.19,39.24,38.78,40.1,32.51,30.52,32.51,32.14,31.13,33.5
Sri Lanka,37.9,35.61,36.38,35.79,33.89,30,27.22,29.77,28.22,27.23
Tunisia,37.81,37.61,37.45,37.15,45.61,45.31,42.96,43.18,41.5,37.37
Slovakia,37,38.81,39.37,37.44,30.04,29.61,32.25,31.59,33.95,34.66
Jordan,36.57,36.21,37.07,35.26,34.96,34.49,32.34,32.02,28.46,27.52
Lebanon,35.13,34.6,35.85,33.97,32.81,30.66,28.47,28.5,25.85,25.26
Uruguay,34.36,34.47,34.57,35.33,29.87,30.03,30.54,31.53,30.67,26.03
Senegal,33.6,32.33,31.93,31.79,29.82,28.9,28.36,27.18,27.61,28.54
Republic of Congo,30.07,28.94,26.13,25.94,25.08,24.19,24.88,25.12,25.68,25.65
Sweden,29.87,30.88,33.42,33.74,28.65,28.72,30.02,31.8,34.58,49.72
Afghanistan,28.79,27.84,26.68,27.05,26.84,26.52,26.77,28.55,29.17,27.24
Trinidad and Tobago,28.47,28.81,28.87,28.65,32.23,33.14,33.11,32.13,32.57,31.59
Honduras,28.14,27.9,26.56,27.02,27.36,26.96,26.6,25.82,25.81,23.86
Norway,26.98,28.59,28.77,29.78,30.33,29.94,30.27,29.36,30.56,28.59
Benin,25.78,25.83,24.72,24.54,22.84,22.41,21.89,21.25,21.29,21.19
Panama,25.3,21.9,21.74,22.29,22.06,22.07,21.64,21.66,20.96,19.86
Yemen,25.26,23.86,23.84,23.9,29.46,52.32,54.09,44.5,48.94,52.17
Bosnia and Herzegovina,24.5,26.01,26,25.73,21.17,20.95,23.47,23.69,25.48,26.41
Namibia,21.22,22.17,23.04,22.86,22.29,22.18,22.93,29.75,28.21,23.23
Guyana,19.8,19.26,19.05,18.99,21.59,21.44,21.24,21.09,20.84,13.11
Gabon,19.68,18.89,19.37,20.8,20.39,19.92,19.59,19.35,19.75,16.48
Malawi,19.34,18.9,17.45,17.21,16.71,16.3,15.73,15.63,15.17,15.16
Lithuania,18.3,18.28,18.2,18.28,12.78,12.52,12.99,13.89,13.97,20.6
Croatia,17.92,17.87,18.98,18.33,21.11,20.5,21.3,22.4,24.39,25.32
